Pax_group_id,total_demand
1,400
2,400
3,400
4,400
5,400
6,400
7,400
8,400
9,400
10,400
11,400
12,400
13,400
14,400
15,400
16,400
17,400
18,400
19,400
20,400
21,400
22,400
23,400
24,400
25,400
26,400
27,400
28,400
29,400
30,400
31,400
32,400
33,400
34,400
35,400
36,400
37,400
38,400
39,400
40,400
41,400
42,400
43,400
44,400
45,400
46,400
47,400
48,400
49,400
50,400
51,400
52,400
53,400
54,400
55,400
56,400
57,400
58,400
59,400
60,400
61,400
62,400
63,400
64,400
65,400
66,400
67,400
68,400
69,400
70,400
71,400
72,400
73,400
74,400
75,400
76,400
77,400
78,400
79,400
80,400
81,400
82,400
83,400
84,400
85,400
86,400
87,400
88,400
89,400
90,400
91,400
92,400
93,400
94,400
95,400
96,400
97,400
98,400
99,400
100,400
101,400
102,400
103,400
104,400
105,400
106,400
107,400
108,400
109,400
110,400
111,400
112,400
113,400
114,400
115,400
116,400
117,400
118,400
119,400
120,400
121,400
122,400
123,400
124,400
125,400
129,400
130,400
133,400
134,400
135,400
136,400
145,400
147,400
157,400
159,400
161,400
230,400
232,400
279,400
281,400
295,400
297,400
304,400
356,400
775,400
776,400
777,400
778,400
779,400
780,400
781,400
782,400
783,400
784,400
785,400
786,400
787,400
788,400
789,400
790,400
791,400
792,400
793,400
794,400
795,400
796,400
797,400
798,400
799,400
800,400
801,400
802,400
803,400
804,400
805,400
806,400
807,400
808,400
809,400
810,400
811,400
815,400
816,400
817,400
818,400
819,400
820,400
821,400
822,400
823,400
824,400
825,400
826,400
827,400
830,400
832,400
833,400
834,400
835,400
836,400
837,400
838,400
839,400
840,400
841,400
842,400
843,400
844,400
845,400
846,400
847,400
848,400
849,400
850,400
851,400
852,400
853,400
854,400
855,400
856,400
857,400
858,400
859,400
860,400
861,400
862,400
863,400
864,400
865,400
866,400
867,400
868,400
869,400
870,400
871,400
872,400
873,400
874,400
875,400
876,400
877,400
878,400
879,400
880,400
881,400
882,400
883,400
884,400
885,400
886,400
887,400
888,400
889,400
890,400
891,400
892,400
893,400
894,400
895,400
896,400
897,400
898,400
899,400
901,400
903,400
904,400
905,400
906,400
907,400
908,400
909,400
910,400
912,400
915,400
916,400
919,400
920,400
921,400
922,400
931,400
932,400
933,400
934,400
935,400
1003,400
1004,400
1005,400
1006,400
1053,400
1054,400
1055,400
1056,400
1065,400
1066,400
1069,400
1070,400
1071,400
1072,400
1077,400
1078,400
1079,400
1080,400
1081,400
1082,400
1130,400
1131,400
1133,400
1549,400
1550,400
1551,400
1552,400
1553,400
1554,400
1555,400
1556,400
1557,400
1558,400
1559,400
1560,400
1561,400
1562,400
1563,400
1564,400
1565,400
1566,400
1567,400
1568,400
1569,400
1570,400
1571,400
1572,400
1573,400
1574,400
1575,400
1576,400
1577,400
1578,400
1579,400
1580,400
1581,400
1582,400
1583,400
1584,400
1585,400
1586,400
1587,400
1588,400
1589,400
1590,400
1591,400
1592,400
1593,400
1594,400
1595,400
1596,400
1597,400
1598,400
1599,400
1600,400
1601,400
1602,400
1603,400
1606,400
1607,400
1608,400
1609,400
1610,400
1611,400
1612,400
1613,400
1614,400
1615,400
1616,400
1617,400
1618,400
1619,400
1620,400
1621,400
1622,400
1623,400
1624,400
1625,400
1626,400
1627,400
1628,400
1629,400
1630,400
1631,400
1632,400
1633,400
1634,400
1635,400
1636,400
1637,400
1638,400
1639,400
1640,400
1641,400
1642,400
1643,400
1644,400
1645,400
1646,400
1647,400
1648,400
1649,400
1650,400
1651,400
1652,400
1653,400
1654,400
1655,400
1656,400
1657,400
1658,400
1659,400
1660,400
1661,400
1662,400
1665,400
1677,400
1679,400
1680,400
1681,400
1682,400
1683,400
1684,400
1689,400
1690,400
1691,400
1692,400
1693,400
1694,400
1695,400
1696,400
1701,400
1703,400
1705,400
1706,400
1707,400
1708,400
1709,400
1768,400
1769,400
1771,400
1773,400
1774,400
1775,400
1776,400
1777,400
1778,400
1779,400
1780,400
1781,400
1815,400
1817,400
1827,400
1828,400
