pax_id,agent_index
1,73;191;1862;1980;3651;3769;5440;5558;7229;7347;9018;9136;10807;10925;12596;12714;14385;14503;16174;16292;17963;18081;19752;19870;21541;21659;23330;23448;25119;25237;26908;27026;28697;28815;30486;30604;32275;32393;34064;34182;35853;35971;37642;37760;39431;39549;41220;41338;43009;43127;44798;44916;46587;46705;48376;48494;50165;50283;51954;52072;53743;53861;55532;55650;57321;57439;59110;59228;60899;61017;62688;62806;64477;64595;66266;66384;68055;68173;69844;69962;71633;71751;73422;73540;75211;75329;77000;77118;78789;78907;80578;80696;82367;82485;84156;84274;85945;86063;87734;87852;
2,51;123;1840;1912;3629;3701;5418;5490;7207;7279;8996;9068;10785;10857;12574;12646;14363;14435;16152;16224;17941;18013;19730;19802;21519;21591;23308;23380;25097;25169;26886;26958;28675;28747;30464;30536;32253;32325;34042;34114;35831;35903;37620;37692;39409;39481;41198;41270;42987;43059;44776;44848;46565;46637;48354;48426;50143;50215;51932;52004;53721;53793;55510;55582;57299;57371;59088;59160;60877;60949;62666;62738;64455;64527;66244;66316;68033;68105;69822;69894;71611;71683;73400;73472;75189;75261;76978;77050;78767;78839;80556;80628;82345;82417;84134;84206;85923;85995;87712;87784;
3,71;135;1860;1924;3649;3713;5438;5502;7227;7291;9016;9080;10805;10869;12594;12658;14383;14447;16172;16236;17961;18025;19750;19814;21539;21603;23328;23392;25117;25181;26906;26970;28695;28759;30484;30548;32273;32337;34062;34126;35851;35915;37640;37704;39429;39493;41218;41282;43007;43071;44796;44860;46585;46649;48374;48438;50163;50227;51952;52016;53741;53805;55530;55594;57319;57383;59108;59172;60897;60961;62686;62750;64475;64539;66264;66328;68053;68117;69842;69906;71631;71695;73420;73484;75209;75273;76998;77062;78787;78851;80576;80640;82365;82429;84154;84218;85943;86007;87732;87796;
4,11;133;1800;1922;3589;3711;5378;5500;7167;7289;8956;9078;10745;10867;12534;12656;14323;14445;16112;16234;17901;18023;19690;19812;21479;21601;23268;23390;25057;25179;26846;26968;28635;28757;30424;30546;32213;32335;34002;34124;35791;35913;37580;37702;39369;39491;41158;41280;42947;43069;44736;44858;46525;46647;48314;48436;50103;50225;51892;52014;53681;53803;55470;55592;57259;57381;59048;59170;60837;60959;62626;62748;64415;64537;66204;66326;67993;68115;69782;69904;71571;71693;73360;73482;75149;75271;76938;77060;78727;78849;80516;80638;82305;82427;84094;84216;85883;86005;87672;87794;
5,16;136;1805;1925;3594;3714;5383;5503;7172;7292;8961;9081;10750;10870;12539;12659;14328;14448;16117;16237;17906;18026;19695;19815;21484;21604;23273;23393;25062;25182;26851;26971;28640;28760;30429;30549;32218;32338;34007;34127;35796;35916;37585;37705;39374;39494;41163;41283;42952;43072;44741;44861;46530;46650;48319;48439;50108;50228;51897;52017;53686;53806;55475;55595;57264;57384;59053;59173;60842;60962;62631;62751;64420;64540;66209;66329;67998;68118;69787;69907;71576;71696;73365;73485;75154;75274;76943;77063;78732;78852;80521;80641;82310;82430;84099;84219;85888;86008;87677;87797;
6,13;69;1802;1858;3591;3647;5380;5436;7169;7225;8958;9014;10747;10803;12536;12592;14325;14381;16114;16170;17903;17959;19692;19748;21481;21537;23270;23326;25059;25115;26848;26904;28637;28693;30426;30482;32215;32271;34004;34060;35793;35849;37582;37638;39371;39427;41160;41216;42949;43005;44738;44794;46527;46583;48316;48372;50105;50161;51894;51950;53683;53739;55472;55528;57261;57317;59050;59106;60839;60895;62628;62684;64417;64473;66206;66262;67995;68051;69784;69840;71573;71629;73362;73418;75151;75207;76940;76996;78729;78785;80518;80574;82307;82363;84096;84152;85885;85941;87674;87730;
7,0;72;128;1789;1861;1917;3578;3650;3706;5367;5439;5495;7156;7228;7284;8945;9017;9073;10734;10806;10862;12523;12595;12651;14312;14384;14440;16101;16173;16229;17890;17962;18018;19679;19751;19807;21468;21540;21596;23257;23329;23385;25046;25118;25174;26835;26907;26963;28624;28696;28752;30413;30485;30541;32202;32274;32330;33991;34063;34119;35780;35852;35908;37569;37641;37697;39358;39430;39486;41147;41219;41275;42936;43008;43064;44725;44797;44853;46514;46586;46642;48303;48375;48431;50092;50164;50220;51881;51953;52009;53670;53742;53798;55459;55531;55587;57248;57320;57376;59037;59109;59165;60826;60898;60954;62615;62687;62743;64404;64476;64532;66193;66265;66321;67982;68054;68110;69771;69843;69899;71560;71632;71688;73349;73421;73477;75138;75210;75266;76927;76999;77055;78716;78788;78844;80505;80577;80633;82294;82366;82422;84083;84155;84211;85872;85944;86000;87661;87733;87789;
8,3;65;187;1792;1854;1976;3581;3643;3765;5370;5432;5554;7159;7221;7343;8948;9010;9132;10737;10799;10921;12526;12588;12710;14315;14377;14499;16104;16166;16288;17893;17955;18077;19682;19744;19866;21471;21533;21655;23260;23322;23444;25049;25111;25233;26838;26900;27022;28627;28689;28811;30416;30478;30600;32205;32267;32389;33994;34056;34178;35783;35845;35967;37572;37634;37756;39361;39423;39545;41150;41212;41334;42939;43001;43123;44728;44790;44912;46517;46579;46701;48306;48368;48490;50095;50157;50279;51884;51946;52068;53673;53735;53857;55462;55524;55646;57251;57313;57435;59040;59102;59224;60829;60891;61013;62618;62680;62802;64407;64469;64591;66196;66258;66380;67985;68047;68169;69774;69836;69958;71563;71625;71747;73352;73414;73536;75141;75203;75325;76930;76992;77114;78719;78781;78903;80508;80570;80692;82297;82359;82481;84086;84148;84270;85875;85937;86059;87664;87726;87848;
9,6;67;197;1795;1856;1986;3584;3645;3775;5373;5434;5564;7162;7223;7353;8951;9012;9142;10740;10801;10931;12529;12590;12720;14318;14379;14509;16107;16168;16298;17896;17957;18087;19685;19746;19876;21474;21535;21665;23263;23324;23454;25052;25113;25243;26841;26902;27032;28630;28691;28821;30419;30480;30610;32208;32269;32399;33997;34058;34188;35786;35847;35977;37575;37636;37766;39364;39425;39555;41153;41214;41344;42942;43003;43133;44731;44792;44922;46520;46581;46711;48309;48370;48500;50098;50159;50289;51887;51948;52078;53676;53737;53867;55465;55526;55656;57254;57315;57445;59043;59104;59234;60832;60893;61023;62621;62682;62812;64410;64471;64601;66199;66260;66390;67988;68049;68179;69777;69838;69968;71566;71627;71757;73355;73416;73546;75144;75205;75335;76933;76994;77124;78722;78783;78913;80511;80572;80702;82300;82361;82491;84089;84150;84280;85878;85939;86069;87667;87728;87858;
10,1;5;75;125;199;1790;1794;1864;1914;1988;3579;3583;3653;3703;3777;5368;5372;5442;5492;5566;7157;7161;7231;7281;7355;8946;8950;9020;9070;9144;10735;10739;10809;10859;10933;12524;12528;12598;12648;12722;14313;14317;14387;14437;14511;16102;16106;16176;16226;16300;17891;17895;17965;18015;18089;19680;19684;19754;19804;19878;21469;21473;21543;21593;21667;23258;23262;23332;23382;23456;25047;25051;25121;25171;25245;26836;26840;26910;26960;27034;28625;28629;28699;28749;28823;30414;30418;30488;30538;30612;32203;32207;32277;32327;32401;33992;33996;34066;34116;34190;35781;35785;35855;35905;35979;37570;37574;37644;37694;37768;39359;39363;39433;39483;39557;41148;41152;41222;41272;41346;42937;42941;43011;43061;43135;44726;44730;44800;44850;44924;46515;46519;46589;46639;46713;48304;48308;48378;48428;48502;50093;50097;50167;50217;50291;51882;51886;51956;52006;52080;53671;53675;53745;53795;53869;55460;55464;55534;55584;55658;57249;57253;57323;57373;57447;59038;59042;59112;59162;59236;60827;60831;60901;60951;61025;62616;62620;62690;62740;62814;64405;64409;64479;64529;64603;66194;66198;66268;66318;66392;67983;67987;68057;68107;68181;69772;69776;69846;69896;69970;71561;71565;71635;71685;71759;73350;73354;73424;73474;73548;75139;75143;75213;75263;75337;76928;76932;77002;77052;77126;78717;78721;78791;78841;78915;80506;80510;80580;80630;80704;82295;82299;82369;82419;82493;84084;84088;84158;84208;84282;85873;85877;85947;85997;86071;87662;87666;87736;87786;87860;
11,8;79;200;1797;1868;1989;3586;3657;3778;5375;5446;5567;7164;7235;7356;8953;9024;9145;10742;10813;10934;12531;12602;12723;14320;14391;14512;16109;16180;16301;17898;17969;18090;19687;19758;19879;21476;21547;21668;23265;23336;23457;25054;25125;25246;26843;26914;27035;28632;28703;28824;30421;30492;30613;32210;32281;32402;33999;34070;34191;35788;35859;35980;37577;37648;37769;39366;39437;39558;41155;41226;41347;42944;43015;43136;44733;44804;44925;46522;46593;46714;48311;48382;48503;50100;50171;50292;51889;51960;52081;53678;53749;53870;55467;55538;55659;57256;57327;57448;59045;59116;59237;60834;60905;61026;62623;62694;62815;64412;64483;64604;66201;66272;66393;67990;68061;68182;69779;69850;69971;71568;71639;71760;73357;73428;73549;75146;75217;75338;76935;77006;77127;78724;78795;78916;80513;80584;80705;82302;82373;82494;84091;84162;84283;85880;85951;86072;87669;87740;87861;
12,4;84;1793;1873;3582;3662;5371;5451;7160;7240;8949;9029;10738;10818;12527;12607;14316;14396;16105;16185;17894;17974;19683;19763;21472;21552;23261;23341;25050;25130;26839;26919;28628;28708;30417;30497;32206;32286;33995;34075;35784;35864;37573;37653;39362;39442;41151;41231;42940;43020;44729;44809;46518;46598;48307;48387;50096;50176;51885;51965;53674;53754;55463;55543;57252;57332;59041;59121;60830;60910;62619;62699;64408;64488;66197;66277;67986;68066;69775;69855;71564;71644;73353;73433;75142;75222;76931;77011;78720;78800;80509;80589;82298;82378;84087;84167;85876;85956;87665;87745;
13,14;132;208;1803;1921;1997;3592;3710;3786;5381;5499;5575;7170;7288;7364;8959;9077;9153;10748;10866;10942;12537;12655;12731;14326;14444;14520;16115;16233;16309;17904;18022;18098;19693;19811;19887;21482;21600;21676;23271;23389;23465;25060;25178;25254;26849;26967;27043;28638;28756;28832;30427;30545;30621;32216;32334;32410;34005;34123;34199;35794;35912;35988;37583;37701;37777;39372;39490;39566;41161;41279;41355;42950;43068;43144;44739;44857;44933;46528;46646;46722;48317;48435;48511;50106;50224;50300;51895;52013;52089;53684;53802;53878;55473;55591;55667;57262;57380;57456;59051;59169;59245;60840;60958;61034;62629;62747;62823;64418;64536;64612;66207;66325;66401;67996;68114;68190;69785;69903;69979;71574;71692;71768;73363;73481;73557;75152;75270;75346;76941;77059;77135;78730;78848;78924;80519;80637;80713;82308;82426;82502;84097;84215;84291;85886;86004;86080;87675;87793;87869;
14,2;83;1791;1872;3580;3661;5369;5450;7158;7239;8947;9028;10736;10817;12525;12606;14314;14395;16103;16184;17892;17973;19681;19762;21470;21551;23259;23340;25048;25129;26837;26918;28626;28707;30415;30496;32204;32285;33993;34074;35782;35863;37571;37652;39360;39441;41149;41230;42938;43019;44727;44808;46516;46597;48305;48386;50094;50175;51883;51964;53672;53753;55461;55542;57250;57331;59039;59120;60828;60909;62617;62698;64406;64487;66195;66276;67984;68065;69773;69854;71562;71643;73351;73432;75140;75221;76929;77010;78718;78799;80507;80588;82296;82377;84085;84166;85874;85955;87663;87744;
15,12;126;1801;1915;3590;3704;5379;5493;7168;7282;8957;9071;10746;10860;12535;12649;14324;14438;16113;16227;17902;18016;19691;19805;21480;21594;23269;23383;25058;25172;26847;26961;28636;28750;30425;30539;32214;32328;34003;34117;35792;35906;37581;37695;39370;39484;41159;41273;42948;43062;44737;44851;46526;46640;48315;48429;50104;50218;51893;52007;53682;53796;55471;55585;57260;57374;59049;59163;60838;60952;62627;62741;64416;64530;66205;66319;67994;68108;69783;69897;71572;71686;73361;73475;75150;75264;76939;77053;78728;78842;80517;80631;82306;82420;84095;84209;85884;85998;87673;87787;
16,18;134;1807;1923;3596;3712;5385;5501;7174;7290;8963;9079;10752;10868;12541;12657;14330;14446;16119;16235;17908;18024;19697;19813;21486;21602;23275;23391;25064;25180;26853;26969;28642;28758;30431;30547;32220;32336;34009;34125;35798;35914;37587;37703;39376;39492;41165;41281;42954;43070;44743;44859;46532;46648;48321;48437;50110;50226;51899;52015;53688;53804;55477;55593;57266;57382;59055;59171;60844;60960;62633;62749;64422;64538;66211;66327;68000;68116;69789;69905;71578;71694;73367;73483;75156;75272;76945;77061;78734;78850;80523;80639;82312;82428;84101;84217;85890;86006;87679;87795;
17,17;124;1806;1913;3595;3702;5384;5491;7173;7280;8962;9069;10751;10858;12540;12647;14329;14436;16118;16225;17907;18014;19696;19803;21485;21592;23274;23381;25063;25170;26852;26959;28641;28748;30430;30537;32219;32326;34008;34115;35797;35904;37586;37693;39375;39482;41164;41271;42953;43060;44742;44849;46531;46638;48320;48427;50109;50216;51898;52005;53687;53794;55476;55583;57265;57372;59054;59161;60843;60950;62632;62739;64421;64528;66210;66317;67999;68106;69788;69895;71577;71684;73366;73473;75155;75262;76944;77051;78733;78840;80522;80629;82311;82418;84100;84207;85889;85996;87678;87785;
18,21;137;1810;1926;3599;3715;5388;5504;7177;7293;8966;9082;10755;10871;12544;12660;14333;14449;16122;16238;17911;18027;19700;19816;21489;21605;23278;23394;25067;25183;26856;26972;28645;28761;30434;30550;32223;32339;34012;34128;35801;35917;37590;37706;39379;39495;41168;41284;42957;43073;44746;44862;46535;46651;48324;48440;50113;50229;51902;52018;53691;53807;55480;55596;57269;57385;59058;59174;60847;60963;62636;62752;64425;64541;66214;66330;68003;68119;69792;69908;71581;71697;73370;73486;75159;75275;76948;77064;78737;78853;80526;80642;82315;82431;84104;84220;85893;86009;87682;87798;
19,22;139;1811;1928;3600;3717;5389;5506;7178;7295;8967;9084;10756;10873;12545;12662;14334;14451;16123;16240;17912;18029;19701;19818;21490;21607;23279;23396;25068;25185;26857;26974;28646;28763;30435;30552;32224;32341;34013;34130;35802;35919;37591;37708;39380;39497;41169;41286;42958;43075;44747;44864;46536;46653;48325;48442;50114;50231;51903;52020;53692;53809;55481;55598;57270;57387;59059;59176;60848;60965;62637;62754;64426;64543;66215;66332;68004;68121;69793;69910;71582;71699;73371;73488;75160;75277;76949;77066;78738;78855;80527;80644;82316;82433;84105;84222;85894;86011;87683;87800;
